WL,R,G,B,Y,sky,R-LED,G-LED,B-LED,Y-LED,Sky-LED
400,0,0,0,0,0.000587602450253,0,0,0,0,0.000310610927708
405,0,0,0,0,0.001066565763708,0,0,0,0,0.000389809823298
410,0,0,0,0,0.000599336868374,0,0,0,0,0.000365477178953
415,0,0,0,0,0.000592641770834,0,0,0,0,0.000737796895035
420,0,0,0,0,0.000591784546228,0,0,0,0,0.001261427323961
425,0,0,0.000139501689866,0,0.000783125939061,0,0,0.000358340166938,0,0.002011627816168
430,0,0,0.00020794203742,0,0.000728019051943,0,0,0.000925622611845,0,0.003240666989195
435,0,0,0.00124218183073,0,0.001742049807558,0,0,0.003105586895948,0,0.004355310084724
440,0,0,0.001231026928113,0,0.000900760068457,0,0,0.007081135424423,0,0.005181368403883
445,0,0,0.001194750703809,0,0.000738541628934,0,0,0.007948027013591,0,0.004913116015513
450,0,0,0.001318438379903,0,0.000883095585689,0,0,0.004755486100289,0,0.003185244640163
455,0,0,0.000895846726015,0,0.000648726286269,0,0,0.00266702449926,0,0.001931322455672
460,0,8.74552486514146E-05,0.000805710001714,5.99223887619614E-05,0.000534668138227,0,0.000204263386624,0.001881843069743,0.000139956723603,0.00124878868128
465,0,0.000311751905834,0.001392906959987,0.000245182263845,0.00078523739638,0,0.000274353653012,0.001225811632988,0.000215769810804,0.000691039073528
470,0,0.000375081907412,0.001133561922751,0.000263894398698,0.000679383562238,0,0.000293404741381,0.000886719503694,0.000206429225916,0.000531442211523
475,0,0.000556847342234,0.001281557866327,0.000448184886192,0.000812231585882,0,0.00039093726811,0.000899723664258,0.000314650285145,0.000570230964889
480,0,0.000377085574606,0.000693476030763,0.000345535021402,0.000434591499399,0,0.000324198317245,0.00059621416825,0.000297072813259,0.000373638882742
485,0,0.000412876867051,0.000687204887104,0.000400616984362,0.000452354118918,0,0.000572454846625,0.000952811357673,0.000555456487491,0.00062719015869
490,0,0.000513415636861,0.00076623669815,0.000489770842142,0.000495227995639,0,0.000659236810279,0.00098386453497,0.000628876381161,0.000635883484581
495,0,0.000720472159121,0.000969372682581,0.000707874801243,0.000653195293827,0,0.000776258817276,0.001044431880613,0.000762686037254,0.000703772657718
500,0,0.00127838094439,0.001624976612438,0.001317950360094,0.001112088573546,0,0.001064431886875,0.001353021514672,0.001097378989228,0.000925970106099
505,0,0.0005867446961,0.000719949595253,0.00066162337355,0.000517900524013,0,0.001367769837892,0.001678285884364,0.001542320706777,0.001207286099868
510,0,0.000752788072301,0.000868299535814,0.000865117665414,0.000662760196495,0,0.001626606133943,0.001876200491247,0.001869325183175,0.001432076092356
515,0,0.001154418616444,0.001282466708794,0.001397408292577,0.00103296080182,0,0.002020204062546,0.002244285061139,0.002445429993494,0.001807655887182
520,0,0.000551788503809,0.000580764653604,0.000709475364578,0.000509306629195,0,0.002264741186002,0.002383669868639,0.002911945550738,0.002090380084907
525,0,0.000527386636596,0.000526288064718,0.000714964272191,0.000512968009155,0,0.002550686860844,0.002545373656715,0.003457899477355,0.002480951677935
530,0,0.000493560641866,0.000485039530812,0.000740386255936,0.000525378529117,0,0.002628561722515,0.002583180741032,0.00394308380197,0.002798014619337
535,0,0.00061822471012,0.000593122198933,0.00099292073013,0.000690221046256,0,0.002654416097743,0.002546635692499,0.004263214858122,0.002963540321492
540,0,0.000482638703767,0.000458933139959,0.000850801645998,0.000587823704694,0,0.002559091145182,0.002433397333311,0.004511198421487,0.003116812692123
545,0,0.00134450962598,0.001195903075953,0.00253575180946,0.00176068713858,0,0.002469138713109,0.002196228665755,0.004656807834315,0.003233432242907
550,0,0.000746205420384,0.000642606209274,0.001571009337835,0.001085972501959,0,0.002255399012206,0.001942271350548,0.004748361258078,0.003282341887762
555,0,0.000687665056131,0.00059551542585,0.001595092481612,0.001113285030414,0,0.002015046500994,0.00174502290679,0.004674056788518,0.003262229315194
560,6.79837115853581E-06,0.00067729807681,0.000548468321761,0.001722734765941,0.001232601654039,1.82341629674661E-05,0.001816606246129,0.001471067190693,0.004620610693262,0.003306006528564
565,8.95743343530938E-05,0.000920014471576,0.000699028137021,0.002613861666664,0.001857725001487,0.000155119807171,0.001593229449665,0.001210537712671,0.004526538998398,0.003217103940417
570,0.000623804060675,0.002307651934384,0.001692292752339,0.007178493043514,0.005264360982213,0.000372451629058,0.001377818415177,0.001010408928358,0.004286027611531,0.003143166175695
575,0.000564496670904,0.001025546880608,0.000748497965222,0.003636946989039,0.00275851749908,0.000644341654688,0.001170604908888,0.000854368931298,0.004151373359168,0.00314869479566
580,0.00140619866741,0.001483806539483,0.001009411075845,0.005872933958889,0.004685178706685,0.000908017123219,0.000958130438195,0.000651801599928,0.003792298145203,0.003025335316842
585,0.001915117202945,0.001389008873654,0.000890863999056,0.005937930257678,0.005126804643439,0.001104707312302,0.000801229427222,0.000513881851466,0.003425208110245,0.00295732217832
590,0.000781476801406,0.00042074364631,0.000281784734924,0.001939582291799,0.001725237860639,0.001287266662596,0.000693058665874,0.000464162332962,0.003194924812999,0.002841851708271
595,0.002863346511847,0.001325209597464,0.000835701844389,0.006290836974325,0.005893766656503,0.001320022040657,0.000610930556223,0.000385264182818,0.002900118244833,0.002717066152099
600,0.002350689792352,0.000960759268514,0.000623101204938,0.004635002258107,0.004620706485348,0.0013260397405,0.000541970691006,0.000351495532413,0.002614635589755,0.002606571249295
605,0.001623454269682,0.000622133676882,0.000388798827013,0.002929908388135,0.003185029005949,0.001239299798918,0.000474919531186,0.000296798201918,0.002236610506419,0.002431362484508
610,0.001122712704931,0.000427913520742,0.000285662436073,0.001950294788347,0.002312895952369,0.001190479666134,0.000453742389366,0.000302905026397,0.002068014620567,0.002452502398062
615,0.001436160737011,0.000525691629723,0.00033757247615,0.002396947249079,0.003074177370737,0.000991570783051,0.000362954123096,0.000233070711298,0.001654928170259,0.00212250925971
620,0.000668327224295,0.000242620116555,0.000169904449157,0.00108483879153,0.001551778775447,0.000922799003739,0.000334999972625,0.00023459714151,0.001497901207148,0.002142632913863
625,0.000548207132568,0.000199527865759,0.00014131998199,0.000874798246131,0.00136983858326,0.000725313219546,0.000263988171816,0.00018697540589,0.001157414222946,0.001812384359957
630,0.000451198005259,0.000154996068942,0.000115819878476,0.000717402391201,0.001253502617699,0.0006319622874,0.000217092427549,0.000162221008238,0.001004816623402,0.001755695664232
635,0.000328037357072,0.000117294513116,9.01606685933439E-05,0.000513525344714,0.001002312894663,0.000540646637171,0.000193316043761,0.000148596070628,0.00084635406528,0.001651937147432
640,0.000267528054858,0.000103635621123,9.13511040636622E-05,0.000421176526774,0.0009320122056,0.000453094955202,0.000175520945401,0.000154715453769,0.00071331942974,0.00157848876361
645,0.000214359280329,9.32609978098432E-05,8.30046732425203E-05,0.000333146569773,0.000832092014597,0.000367138594125,0.00015973048412,0.000142164216046,0.000570588607483,0.001425145167277
650,0.00017534467802,8.98065885371437E-05,8.23461021810975E-05,0.00027419008902,0.00077395874261,0.000280843006835,0.000143839850991,0.000131890669274,0.000439160001401,0.001239620745241
655,0.000158701001194,9.63830814214162E-05,8.95204216335119E-05,0.000249834145206,0.000769931841106,0.000249281022611,0.000151394590572,0.00014061500609,0.000392429226858,0.001209377352679
660,0.00012958007965,9.41776353960789E-05,9.24495333529786E-05,0.00020246157402,0.000696566429811,0.000212675353268,0.000154570532228,0.000151734257444,0.000332293257528,0.001143250659623
665,0.000110193435046,9.50075651592415E-05,9.95132736109892E-05,0.00017157043393,0.000651926185384,0.000180285250835,0.00015543995619,0.000162811654677,0.000280702917592,0.001066603249177
670,0.000116691093783,0.000116661825172,0.000121042756481,0.000181742304009,0.000734949045834,0.000155632565632,0.000155593529671,0.000161436439849,0.000242392286677,0.000980211958805
675,9.91918858869507E-05,0.000110580715843,0.000119098730104,0.000153801490232,0.000656523905296,0.000132722857571,0.000147961584435,0.000159359040825,0.000205792773268,0.00087845621641
680,8.25410726031429E-05,0.000101085741037,0.000112436714838,0.000128835834057,0.000569842458096,0.000122415185472,0.000149918450868,0.00016675287668,0.000191074116488,0.000845123136855
685,7.2965338557583E-05,9.80571084810008E-05,0.000112534501244,0.000113481682527,0.000532418115164,0.000115959363976,0.000155836184105,0.000178844221757,0.000180349519221,0.000846139649648
690,6.88331292322264E-05,9.68778461970056E-05,0.000116488506218,0.000105844670829,0.000513727780406,0.000112075367259,0.000157738291327,0.000189668728727,0.000172338240144,0.000836461022507
695,6.19547427389746E-05,9.3289136028574E-05,0.000114455136901,9.76971157566745E-05,0.0004782046435,8.33126426941361E-05,0.000125449063519,0.000153911702375,0.000131376623281,0.000643057994227
700,6.3400015617573E-05,9.88396111707182E-05,0.000124460144135,9.72664903925435E-05,0.000496809100293,8.08352097242668E-05,0.000126020800156,0.00015868705639,0.000124015066454,0.000633433090259
705,5.44576302139238E-05,8.87077570061961E-05,0.000114711044625,8.40676257549419E-05,0.000433394464937,8.51439022162933E-05,0.000138693596447,0.000179349448889,0.000131438802583,0.000677607450026
710,5.54847381436034E-05,9.23619409818113E-05,0.000120845493403,8.57725819118708E-05,0.000446647692552,7.86884880321924E-05,0.00013098775863,0.000171383149305,0.000121642725749,0.00063343601837
715,5.40507901395188E-05,9.24134247152484E-05,0.00012112498983,8.38011236570203E-05,0.000441616534237,7.05300191374951E-05,0.000120588812798,0.000158054078927,0.000109350757686,0.000576258414183
720,5.3450469423625E-05,9.35377681349245E-05,0.000124158900658,8.26634549141253E-05,0.000445841694587,6.95308167427487E-05,0.000121678209468,0.000161511580005,0.000107532405177,0.000579971279896
725,5.14362693739163E-05,9.25794254266028E-05,0.000123056454861,8.00300092911628E-05,0.000436170629283,5.44307434309377E-05,9.79691376088494E-05,0.000130220453458,8.46891299762857E-05,0.000461563249116
730,4.89194889121209E-05,8.82374190164129E-05,0.000117909262747,7.5797377466592E-05,0.00042236197708,5.74106608382925E-05,0.000103553177865,0.000138375294668,8.89538633157787E-05,0.000495673212381
735,4.75648992396077E-05,8.59514315228423E-05,0.000117623371488,7.47539720265218E-05,0.000414329148508,3.57585768530692E-05,6.46169952817126E-05,8.84274840544702E-05,5.61989134112714E-05,0.000311486430882
740,4.73286277087272E-05,8.63749266923246E-05,0.000117691248576,7.30418055591336E-05,0.000416644961198,4.92648188758272E-05,8.99084829819729E-05,0.00012250594038,7.60299103405143E-05,0.000433689704152
745,4.85815610151815E-05,8.94643598086804E-05,0.000120758108919,7.55234438134139E-05,0.00043426224969,3.94434744411494E-05,7.26363071866865E-05,9.80437697587521E-05,6.13176473442482E-05,0.000352578459573
750,4.47742973448972E-05,8.2511070131562E-05,0.000112539932998,6.97724156083079E-05,0.000403422203345,4.54228634521382E-05,8.37062621665659E-05,0.000114170100094,7.07830852707553E-05,0.000409265867758
755,4.54764522375786E-05,8.48829740016642E-05,0.00011551075655,7.12163218033004E-05,0.000417810403809,3.96686288000185E-05,7.40425213805756E-05,0.000100758812496,6.2121245064569E-05,0.000364451600818
760,4.44353704908783E-05,8.26704266718572E-05,0.000112511422608,6.9652882293543E-05,0.000415029272147,3.6241427546854E-05,6.7425887201968E-05,9.17641627739197E-05,5.68087957675334E-05,0.000338497308117
765,5.21248363737721E-05,9.7544726433987E-05,0.000132630659747,8.17255558602989E-05,0.000490502850456,3.53194254031883E-05,6.60956259709845E-05,8.98696095568294E-05,5.53766663753852E-05,0.000332361308773
770,6.8650656862002E-05,0.000127141465102,0.000172757930728,0.0001054568528,0.000647859800876,3.36097714798419E-05,6.22455164017398E-05,8.45782813815893E-05,5.16292324881948E-05,0.000317177152466
775,4.04139399867126E-05,7.47593547896291E-05,0.000101648624023,6.20486431746691E-05,0.000392567293343,4.38087373122104E-05,8.1039189365996E-05,0.000110187174758,6.72607696827351E-05,0.0004255432021
780,3.90786788775661E-05,7.22036697512189E-05,9.82390987436797E-05,5.99665476932482E-05,0.000386751137345,3.28604362281233E-05,6.07145418792156E-05,8.26071845849476E-05,5.04246042315908E-05,0.000325210868175
785,3.95130326066305E-05,7.29185252900562E-05,9.92787175086185E-05,6.06002822263133E-05,0.000401274256268,4.06693987549774E-05,7.50525177646972E-05,0.000102184152516,6.23737759402586E-05,0.000413017722551
790,4.08316525688971E-05,7.52602257573866E-05,0.000102537119002,6.2588324760936E-05,0.000425001571431,3.93623898348795E-05,7.25521050201106E-05,9.88474822048282E-05,6.03361824308976E-05,0.000409708558988
795,4.29027494718789E-05,7.89800699908992E-05,0.000107679898806,6.57264988421147E-05,0.000461537109483,3.92816455054595E-05,7.23139460656811E-05,9.85914344656975E-05,6.01790108935382E-05,0.000422582173532
800,4.05155675305472E-05,7.44921965280219E-05,0.000101632765529,6.20344820063285E-05,0.000442398343701,2.99065055080091E-05,5.49863033286973E-05,7.5020073698603E-05,4.5790660007662E-05,0.000326555674992
805,4.26913430275073E-05,7.83930601104665E-05,0.000107031304905,6.53286533429502E-05,0.000481522511117,2.96905824528851E-05,5.45200841642317E-05,7.44371471579471E-05,4.54341707489746E-05,0.000334884845624
810,4.88333024497268E-05,8.95560987227666E-05,0.000122361024806,7.46843095024593E-05,0.000570198975811,2.44899361233298E-05,4.49124475952259E-05,6.13641415011212E-05,3.74542346590867E-05,0.0002859551944
815,7.837732720933E-05,0.000143549919635,0.000196277367758,0.000119798057574,0.000930896802288,4.04970462594706E-05,7.41712934467409E-05,0.000101415216936,6.18988635121021E-05,0.000480988216967
820,0.000453236704751,0.000829016180253,0.001134368890012,0.000692352160679,0.005579577272515,2.44074199579063E-05,4.46436615817061E-05,6.10873250013874E-05,3.7284116152372E-05,0.000300467910587
825,5.20783648401749E-05,9.51289114052878E-05,0.000130266474068,7.95057428863056E-05,0.000665127540801,2.348949411E-05,4.29070692024001E-05,5.87555616375001E-05,3.58603747443001E-05,0.0003
830,3.29593961483239E-05,6.01233727682887E-05,8.23943072093503E-05,5.02870370709092E-05,0.00043337034841,4.26308475977794E-05,7.77656947965579E-05,0.000106571708346,6.50430306388619E-05,0.000560536521766
835,2.69867302846399E-05,4.91603228411396E-05,6.74228889123291E-05,4.1148982217434E-05,0.000369383100591,2.54485323693816E-05,4.6358267708484E-05,6.35798984473201E-05,3.88035599304707E-05,0.00034832888953
840,2.89243620540351E-05,5.26162503849509E-05,7.22198231011297E-05,4.40758766035295E-05,0.000408955852154,3.94929326600915E-05,7.18415164834896E-05,9.86079694732195E-05,6.01806056564301E-05,0.000558382788181
845,2.48676781902223E-05,4.51724953305279E-05,6.20525670263605E-05,3.78701463774904E-05,0.000361012734807,4.06857914662951E-05,7.39063257523046E-05,0.000101523663877,6.19590162992564E-05,0.000590649787755
850,2.4007656480106E-05,4.35474007417434E-05,5.98690584055938E-05,3.65369462148611E-05,0.000361567638447,3.55001971392569E-05,6.43936784298442E-05,8.85285649476637E-05,5.40272972736349E-05,0.000534651204072
855,2.25268436383532E-05,4.08015937121745E-05,5.61406367918473E-05,3.42609680788692E-05,0.000356145878724,2.53565303718644E-05,4.59268447365517E-05,6.31926862352186E-05,3.85646250139654E-05,0.00040088278392
