YYYY/mm/dd,MEAN(HR_sunrise),STD(HR_sunrise),MEAN(HR_sunset),STD(HR_sunset)
2020/05/16,51.78,0.41,45.86,0.45
2020/05/17,49.92,0.70,50.90,1.40
2020/05/18,58.96,0.53,55.14,1.07
2020/05/19,60.47,0.54,52.92,0.27
2020/05/20,52.70,1.39,41.88,3.31
2020/05/21,56.00,0.40,46.38,1.40
2020/05/22,57.04,0.40,33.86,1.39
2020/05/23,58.20,1.79,57.24,0.88
2020/05/24,37.44,1.02,64.98,4.45
2020/05/25,76.50,0.54,69.58,0.83
2020/05/26,75.32,2.77,68.84,1.58
2020/05/27,80.96,0.89,74.78,0.92
2020/05/28,83.94,0.81,68.80,1.06
2020/05/29,73.44,0.64,56.20,0.71
2020/05/30,60.90,1.12,57.52,1.02
2020/05/31,58.76,0.43,72.45,1.81
2020/06/01,76.52,0.78,67.30,0.70
2020/06/02,61.70,0.46,76.65,1.76
2020/06/03,66.00,0.66,77.12,1.16
2020/06/04,69.69,0.83,71.39,0.49
2020/06/05,75.20,2.09,79.59,2.13
2020/06/06,67.04,0.71,56.67,1.34
2020/06/07,62.16,0.50,54.96,0.82
2020/06/08,58.49,1.02,58.92,2.55
2020/06/09,58.65,1.33,68.51,1.04
2020/06/10,59.22,0.80,57.02,0.42
2020/06/11,63.61,0.99,51.45,0.64
2020/06/12,55.27,0.45,42.96,0.68
2020/06/13,60.08,0.76,53.35,1.62
2020/06/14,61.63,1.08,72.88,0.43
2020/06/15,75.14,1.66,72.33,1.54
2020/06/16,83.88,0.58,58.78,12.25
2020/06/17,64.84,3.47,59.00,0.63
2020/06/18,57.23,0.75,56.12,1.23
2020/06/19,59.49,0.94,56.24,1.82
2020/06/20,58.22,0.41,57.19,1.40
2020/06/21,58.75,0.44,48.82,2.49
2020/06/22,59.94,0.24,47.65,2.08
2020/06/23,60.02,0.58,58.18,0.43
2020/06/24,59.27,0.69,54.29,0.46
2020/06/25,58.82,0.96,55.67,0.90
2020/06/26,54.84,0.50,57.71,0.87
2020/06/27,58.10,0.80,56.75,1.62
2020/06/28,60.00,0.93,61.45,1.21
2020/06/29,72.69,1.63,58.53,1.89
2020/06/30,65.33,0.92,54.53,1.23
2020/07/01,63.22,0.72,54.12,1.68
2020/07/02,64.14,0.45,55.02,1.00
2020/07/03,58.59,0.49,54.40,1.00
2020/07/04,61.78,0.60,52.02,0.99
2020/07/05,60.25,0.79,39.82,2.41
2020/07/06,38.27,6.56,69.60,0.82
2020/07/07,72.90,3.06,75.90,3.81
2020/07/08,78.49,3.12,39.92,2.33
2020/07/09,62.08,1.13,42.45,1.59
2020/07/10,60.43,0.50,43.98,1.27
2020/07/11,62.30,1.15,44.66,1.72
2020/07/12,64.37,3.07,57.24,0.95
2020/07/13,63.32,1.16,50.63,1.84
2020/07/14,57.92,2.37,56.48,1.14
2020/07/15,44.18,3.63,51.96,1.00
2020/07/16,67.38,0.63,62.68,1.09
2020/07/17,80.60,0.49,66.62,2.08
2020/07/18,82.86,0.96,26.54,1.93
2020/07/19,35.34,1.35,26.06,0.51
2020/07/20,38.52,2.17,48.84,1.05
2020/07/21,57.50,0.61,51.33,0.71
2020/07/22,59.14,0.35,47.62,2.05
2020/07/23,50.43,0.73,42.63,2.36
2020/07/24,49.76,0.68,41.58,1.46
2020/07/25,50.10,0.84,47.49,1.39
2020/07/26,55.76,0.79,50.31,0.76
2020/07/27,59.24,0.72,47.35,1.08
2020/07/28,56.94,0.89,52.00,0.81
2020/07/29,58.00,0.53,51.06,0.80
2020/07/30,59.80,0.86,51.94,0.68
2020/07/31,63.18,0.72,61.92,1.23
2020/08/01,72.00,0.00,65.92,0.93
2020/08/02,60.65,2.21,36.77,2.70
